activityName,phone,carName,cityName,leadsLevel,price,providerId,runAble,source
客源宝+抢单+S,15000000059,五菱宏光,成都,S,39.33,200,1,2
客源宝+下发+C,15000000045,特斯拉,杭州,C,25.33,198,1,1
平台+下发+C,15000000007,五菱宏光,福州,C,18.33,496,1,1
平台+抢单+S,15000000058,特斯拉,成都,S,13.33,959,1,2
平台+下发+A,15000000079,法拉利,北京,A,15.33,474,1,1
平台+下发+S,15000000001,奥迪,厦门,S,41.33,320,1,1
平台+抢单+S,15000000063,特斯拉,武汉,S,36.33,360,1,2
平台+下发+S,15000000095,宝马,成都,S,41.33,753,1,1
平台+下发+D,15000000017,宝马,江西,D,31.33,604,1,1
平台+下发+D,15000000043,宝马,北京,D,47.33,282,1,1
客源宝+下发+S,15000000027,比亚迪,北京,S,50.33,941,1,1
客源宝+下发+D,15000000090,五菱宏光,成都,D,28.33,40,1,1
客源宝+抢单+S,15000000025,比亚迪,上海,S,37.33,289,1,2
平台+抢单+D,15000000063,宝马,武汉,D,30.33,491,1,2
客源宝+下发+A,15000000085,宝马,厦门,A,27.33,660,1,1
平台+下发+D,15000000027,特斯拉,石家庄,D,29.33,692,1,1
客源宝+抢单+B,15000000030,奔驰,上海,B,37.33,273,1,2
平台+抢单+D,15000000009,奥迪,江西,D,16.33,11,1,2
客源宝+下发+A,15000000015,特斯拉,武汉,A,16.33,57,1,1
客源宝+抢单+C,15000000020,五菱宏光,成都,C,25.33,638,1,2
平台+下发+B,15000000059,法拉利,厦门,B,14.33,231,1,1
客源宝+抢单+B,15000000060,奔驰,杭州,B,23.33,837,1,2
平台+抢单+A,15000000040,奥迪,厦门,A,39.33,626,1,2
客源宝+抢单+S,15000000083,奔驰,成都,S,12.33,650,1,2
平台+下发+B,15000000041,五菱宏光,上海,B,42.33,314,1,1
客源宝+下发+B,15000000075,宝马,石家庄,B,29.33,782,1,1
客源宝+抢单+B,15000000082,宝马,武汉,B,18.33,831,1,2
